Structure,Cohen's_d_3T,Cohen's_d_all,SE,Z-score,95,%,CI,P_value_3T,P_value_all,I2,N_controls,N_cases
R_precentral,-0.41,-0.4,0.04,-9.06,-0.49,-,-0.32,1.34E-19,8.85E-20,27.62,1583,1987
L_precentral,-0.4,-0.38,0.04,-9.31,-0.48,-,-0.32,1.31E-20,1.82E-18,21.96,1579,1991
L_caudalmiddlefrontal,-0.32,-0.32,0.04,-8.05,-0.4,-,-0.25,8.22E-16,2.11E-15,14.37,1584,1994
R_superiorparietal,-0.32,-0.31,0.1,-3.28,-0.51,-,-0.13,1.04X10-3,8.13X10-4,85.05,1587,1991
R_caudalmiddlefrontal,-0.31,-0.31,0.05,-5.84,-0.42,-,-0.21,5.09X10-9,2.09X10-9,48.45,1587,1992
L_paracentral,-0.31,-0.31,0.07,-4.52,-0.45,-,-0.18,6.26X10-6,2.05X10-6,69.37,1584,1994
R_paracentral,-0.31,-0.32,0.06,-5.45,-0.42,-,-0.2,5.13X10-8,2.19X10-9,54.17,1588,1992
L_superiorparietal,-0.29,-0.29,0.08,-3.68,-0.45,-,-0.14,2.34X10-4,1.78X10-4,77.22,1581,1991
R_superiorfrontal,-0.28,-0.27,0.06,-4.67,-0.4,-,-0.17,2.97X10-6,4.49X10-6,60.2,1584,1991
L_superiorfrontal,-0.28,-0.28,0.06,-4.99,-0.4,-,-0.17,6.00X10-7,1.51X10-7,54.46,1583,1992
R_precuneus,-0.28,-0.28,0.07,-4.06,-0.42,-,-0.14,4.90X10-5,2.70X10-5,69.21,1588,1988
L_entorhinal,-0.26,-0.26,0.06,-4.04,-0.38,-,-0.13,5.44X10-5,2.04X10-5,56.86,1341,1663
L_precuneus,-0.25,-0.25,0.09,-2.85,-0.42,-,-0.08,4.30X10-3,2.66X10-3,81.09,1583,1992
L_supramarginal,-0.24,-0.23,0.06,-3.98,-0.36,-,-0.12,6.99X10-5,9.87X10-5,59.4,1540,1898
