,T,P,FDR,HOLM
STAC,-1.50030176731175,0.13353625187438659,0.23525649465042095,1.0
LIPH,-4.2980453442665745,1.7231091801057873e-05,0.00013390281384361444,0.21230428208083404
BFSP1,-3.7383969631408975,0.00018519736525349076,0.0010398412827457714,1.0
ACAT2,4.375823456887642,1.2097490046961534e-05,9.9961609750989e-05,0.15034760630363794
SLC22A14,-0.12912705010495237,0.8972571182966673,0.9362625388204504,1.0
NTN1,-0.19417018461440944,0.8460426277874673,0.9002463995714863,1.0
CALB1,-3.403800412548729,0.0006645529216836089,0.0030824964589117,1.0
IL18BP,-0.3971462765907991,0.6912595962593344,0.78552780486742,1.0
SFRP1,-0.8866410633151228,0.3752721784366645,0.5092722267937764,1.0
KIAA0556,-0.6010977713048761,0.5477748677216094,0.6667046384166765,1.0
KIAA1841,3.2545282104311313,0.0011358087891086496,0.004827312513639894,1.0
MACROD1,-0.6111512983794852,0.5410994216254444,0.6611410960971855,1.0
ITIH1,1.1696977779613766,0.24212261267970292,0.36994807068687346,1.0
PRSS12,1.6611528939387203,0.09668274354934919,0.18230203098168832,1.0
ZNF311,-3.1712908801103814,0.0015176309330979406,0.006127232464352034,1.0
MEIS1,0.6774522867230001,0.4981190332450828,0.6243181735672458,1.0
NACAP1,0.8210976970888657,0.41159062168100546,0.5442959694440235,1.0
RRP1B,-4.053660022499231,5.042248047581695e-05,0.00033914035631165556,0.6069353974874087
NUAK1,-2.305705029758401,0.021127119880320785,0.054131065760778405,1.0
DDIT3,3.6483534056876996,0.0002639264272959466,0.001413539366821113,1.0
NDUFC1,0.7169802335974612,0.4733862932309366,0.602973965898862,1.0
MYH15,4.511408992606269,6.439841272202581e-06,5.82511042267435e-05,0.08098744383921966
PPP1R3G,0.914340117097536,0.3605381570047985,0.49425855364431703,1.0
KCNK13,-1.506236139428742,0.1320065651607894,0.23337611832477687,1.0
HSPD1,2.722111556049545,0.006486624157948272,0.020622417887356123,1.0
CASP1,2.1454192183256646,0.03191934387563264,0.07523769318334349,1.0
C19orf53,1.7166032964903892,0.086051679770421,0.16611123001013273,1.0
ST3GAL1,9.504987279979478,2.0007246258949854e-21,2.3571870634086083e-19,2.80481585304218e-17
KIAA1958,0.09724777664684314,0.9225296275379857,0.9519225756508168,1.0
RSAD2,-4.2523830898191495,2.1150764039960554e-05,0.00016111503340353572,0.2597948347028355
TBC1D26,-3.442994725442967,0.0005753105343724251,0.0027451030492599885,1.0
PEG10,3.584248840894457,0.00033804968024718024,0.001741109792107335,1.0
PAWR,2.468180627993079,0.013580177408566171,0.037750009477449574,1.0
CMPK1,3.5541696855951415,0.00037917448448719496,0.0019172993067524903,1.0
FIZ1,-1.2965470561889394,0.19478707918521498,0.3138704952724606,1.0
MRGPRD,0.28497048735740094,0.7756667525309745,0.8500674534399976,1.0
CSTF2,-0.20327339214048132,0.838921351358505,0.8956180673190776,1.0
ADAM11,0.5500575767535646,0.5822798830143421,0.6957634369554402,1.0
FZD9,2.5259657383836656,0.01153807330168838,0.03318927372111299,1.0
GPR61,-0.73208029143665,0.4641195623865584,0.5938747735560831,1.0
INVS,2.0895844080062487,0.036655148359742255,0.08401921003729507,1.0
HOXB6,1.5247687320284173,0.12731679144989438,0.22655818722701157,1.0
SMG5,1.3359939372063907,0.18155125496549995,0.2975622122307255,1.0
PCDHGC3,1.0498794179288717,0.2937735555907032,0.42633529142717885,1.0
CCZ1,0.5446502360642375,0.585994096943343,0.6994330555158281,1.0
ZNF251,-4.790648519114233,1.662431172314871e-06,1.7671768356532063e-05,0.02129408088618118
PSMD4,4.0318196020455,5.5346664926152524e-05,0.0003673667364910537,0.6646580990981656
ZRANB2,-2.12415777837702,0.03365695244572206,0.07846998576477877,1.0
HLA-DRA,3.451065479214404,0.0005583780813242334,0.002677410854598551,1.0
SLC22A5,-2.1494961681642604,0.03159508951363153,0.07462268218237932,1.0
HERPUD1,0.7165331815809077,0.4736621863415561,0.6031993578404813,1.0
TMEM41A,-0.05864266675499339,0.9532367259832946,0.9727908949478921,1.0
PDZRN4,-5.996510295658919,2.0160283409141344e-09,4.22887369196499e-08,2.714582161040882e-05
THAP8,1.5317683881778044,0.12557959947106542,0.22405910869787016,1.0
NUDT10,3.232071414634813,0.0012289633793137762,0.005143601023309108,1.0
CD200,-5.923232847918317,3.1567336907580467e-09,6.403142169287986e-08,4.2432814271169666e-05
SLC12A7,1.6977213996032248,0.08956035686600806,0.17150268527314397,1.0
REEP2,4.285724804219177,1.8214435231714034e-05,0.00014071895371911092,0.22420148326716804
FEV,5.234355904508607,1.6556117043928594e-07,2.268123864021923e-06,0.002170010260947721
GLI3,0.12097224239351015,0.9037130210597658,0.940361720154778,1.0
SLC6A20,-1.9728865989502784,0.04850848376143977,0.10515377850647585,1.0
DENR,1.3261344991464157,0.18479515062557306,0.30148094155831434,1.0
NDUFA4L2,5.058653265780625,4.222278109364586e-07,5.250181874247715e-06,0.005489805997795835
SPATS2L,-3.8816099447441346,0.00010376721968687675,0.0006320814097083427,1.0
SYT15,-0.09045717498090802,0.9279239237999706,0.9551861058060099,1.0
